,publishtime,code,title,pdfurl
31,2016-12-06,002721,金一文化：发行股份及支付现金购买南京宝庆尚品珠宝连锁有限公司49%股权项目南京宝庆尚品珠宝连锁有限公司股东全部权益价值资产评估报告,http://xinpi.cnstock.com/FileView.aspx?Code=9D308EA042EF9348A7DCDFF29B8CB980
32,2016-12-06,002721,金一文化：发行股份及支付现金购买深圳市贵天钻石有限公司49%股权项目深圳市贵天钻石有限公司股东全部权益价值资产评估报告,http://xinpi.cnstock.com/FileView.aspx?Code=792BF67CF219F924FBFB16CC805634CC
33,2016-12-06,002721,金一文化：备考审计报告,http://xinpi.cnstock.com/FileView.aspx?Code=89280312BDE236B4288017602F27E122
34,2016-12-06,002721,金一文化：发行股份及支付现金购买资产并募集配套资金暨关联交易报告书（草案）摘要,http://xinpi.cnstock.com/FileView.aspx?Code=B4617D019F16BFB2098BBFD541B38EA1
35,2016-12-06,002721,金一文化：发行股份及支付现金购买资产并募集配套资金暨关联交易报告书（草案）,http://xinpi.cnstock.com/FileView.aspx?Code=CEC46C22AD7FADE0370B0A2B006ADF55
36,2016-12-06,002721,金一文化：第三届监事会第八次会议决议公告,http://xinpi.cnstock.com/FileView.aspx?Code=C929C711EF5F1625BDFE308CA16162B7
37,2016-12-06,002721,金一文化：第三届董事会第十八次会议决议公告,http://xinpi.cnstock.com/FileView.aspx?Code=5DE3376BC853DF89432F5CD2BDB396B8
38,2016-12-06,603585,苏利股份：首次公开发行股票网下初步配售结果及网上中签结果公告,http://xinpi.cnstock.com/FileView.aspx?Code=D979DD46B8B0DEB6F9C5604F1CD3CC45
39,2016-12-06,603708,家家悦：首次公开发行股票发行结果公告,http://xinpi.cnstock.com/FileView.aspx?Code=03866DC52B0AD0E2A8B80B1912DAD4F5
40,2016-12-06,603389,亚振家居：首次公开发行股票网上申购情况及中签率公告,http://xinpi.cnstock.com/FileView.aspx?Code=8439ED7141EAAF69E2CC23F2004E90B1
41,2016-12-06,603416,信捷电气：首次公开发行A股网上路演公告,http://xinpi.cnstock.com/FileView.aspx?Code=30BBB3FAE3381A9681F8B54951D652A2
42,2016-12-06,603033,三维股份公司章程,http://xinpi.cnstock.com/FileView.aspx?Code=A37FB0AB1C5CA715230F02F967C3A5CE
43,2016-12-06,603033,三维股份：首次公开发行股票上市公告书,http://xinpi.cnstock.com/FileView.aspx?Code=308C24E01303A2208E78CE7D0E758C89
44,2016-12-06,600234,*ST山水：关于股东持有本公司股票达10%的提示性公告,http://xinpi.cnstock.com/FileView.aspx?Code=BFAD70DBC668123B1C96DA2471E86515
45,2016-12-06,600526,菲达环保：关于神鹰集团商铺抵押权的公告,http://xinpi.cnstock.com/FileView.aspx?Code=A8B68315ED225DECD06A409E20271265
46,2016-12-06,600234,*ST山水：简式权益变动报告书,http://xinpi.cnstock.com/FileView.aspx?Code=457E8B05E7FF5F7C22F4A6F4FE616958
47,2016-12-06,603987,康德莱：控股股东及实际控制人关于股票交易异常波动的问询函的回复,http://xinpi.cnstock.com/FileView.aspx?Code=367AF1F48436FCBA9F7173F8DD126CD2
48,2016-12-06,900935,阳晨B股：停牌公告,http://xinpi.cnstock.com/FileView.aspx?Code=63D6863848DB0A24AC4A208CA41E8C72
49,2016-12-06,603843,正平股份：关于参与发起设立人寿保险公司的公告,http://xinpi.cnstock.com/FileView.aspx?Code=4844768ED87C559BB654F08415904A61
50,2016-12-06,603987,康德莱：股票交易异常波动公告,http://xinpi.cnstock.com/FileView.aspx?Code=AF7109D490F67B25ED8DE63CAC41D406
51,2016-12-06,603843,正平股份：第二届董事会第二十六次会议决议公告,http://xinpi.cnstock.com/FileView.aspx?Code=FAA62BCD31B94B16534AD1A6E04F28B9
52,2016-12-06,603727,徕木股份：-博迈科：华林证券股份有限公司关于博迈科海洋工程股份有限公司使用募集资金对子公司增资之保荐机构核查意见,http://xinpi.cnstock.com/FileView.aspx?Code=A873D662D86B2DBCEECAF538DF27CE30
53,2016-12-06,603777,来伊份：关于使用部分自有闲置资金进行现金管理的进展公告,http://xinpi.cnstock.com/FileView.aspx?Code=AB16BD256D485F7F7FAE3E4F7B7A72A3
54,2016-12-06,603808,歌力思：关于变更公司主体类型事项的补充说明公告,http://xinpi.cnstock.com/FileView.aspx?Code=223304FEC5AF819AD4A68BF806C4AE59
55,2016-12-06,603727,徕木股份：-博迈科：关于博迈科海洋工程股份有限公司以自筹资金预先投入募集资金投资项目的鉴证报告,http://xinpi.cnstock.com/FileView.aspx?Code=7031788E883A2E97D2FA868D68DDCECD
56,2016-12-06,603727,徕木股份：-博迈科第二届董事会第七次会议决议公告,http://xinpi.cnstock.com/FileView.aspx?Code=1E490C77A4072C3FB52B966F50F92541
57,2016-12-06,603727,徕木股份：-博迈科第二届董事会第七次会议决议,http://xinpi.cnstock.com/FileView.aspx?Code=1984492B79D6A5B8E37BAC562FF89E5E
58,2016-12-06,603727,徕木股份：-博迈科：华林证券股份有限公司关于博迈科海洋工程股份有限公司使用募集资金对子公司增资之保荐机构核查意见,http://xinpi.cnstock.com/FileView.aspx?Code=D562F0CCC5E9E383A7E247A47B97B76B
59,2016-12-06,603727,徕木股份：-博迈科：华林证券股份有限公司关于博迈科海洋工程股份有限公司使用募集资金置换先期投入之保荐机构核查意见,http://xinpi.cnstock.com/FileView.aspx?Code=10734374A0B8D771FB0100C9C39C85E1
60,2016-12-06,603727,徕木股份：-博迈科：关于博迈科海洋工程股份有限公司以自筹资金预先投入募集资金投资项目的鉴证报告,http://xinpi.cnstock.com/FileView.aspx?Code=9593C839709121BA45073128C6F6A2A6
61,2016-12-06,603727,徕木股份：-博迈科：关于博迈科海洋工程股份有限公司以自筹资金预先投入募集资金投资项目的鉴证报告,http://xinpi.cnstock.com/FileView.aspx?Code=2040D536CEA53ADC6195F428660D6793
62,2016-12-06,603727,徕木股份：-博迈科：华林证券股份有限公司关于博迈科海洋工程股份有限公司使用募集资金置换先期投入之保荐机构核查意见,http://xinpi.cnstock.com/FileView.aspx?Code=A6AC2A3E27B073051D6875D982201115
63,2016-12-06,603727,徕木股份：-博迈科第二届监事会第四次会议决议,http://xinpi.cnstock.com/FileView.aspx?Code=B19A9FB54291EF6BD0A99FBD6DDBB19C
64,2016-12-06,603727,徕木股份：-博迈科第二届监事会第四次会议决议,http://xinpi.cnstock.com/FileView.aspx?Code=83FFF0BB6513117A17C044BF15F82C49
